Review_Date,Positive_Review,Negative_Review,Reviewer_Score,Tags,Total_Number_of_Reviews_Reviewer_Has_Given,days_since_review,month_idx,days_num,doc_id
2017-03-06,Beatiful spacious room unususal in Paris Brilliant location Very effective soundproofing,No specific points,9.6,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",6,150 day,3,150,160
2016-03-08,Swimming pool,No Negative,8.3,"[' Leisure trip ', ' Couple ', ' Deluxe King with Balcony ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",3,513 day,3,513,161
2016-03-15,Very helpful and pleasant reception staff Our trip to London was a birthday present for my daughter so the staff had the room decorated with balloons and put some nice presents for my kid The location of the hotel seems to be ideal All the major London sights are reachable by foot If you happen to fly via Gatwick Victoria station with its Gatwick Express is within a walking distance from the hotel Notwithstanding its central location the hotel is very quiet even for such a sensitive to noise person as I A separate praise goes to breakfasts The breakfasts are extremely good,There was nothing my kid or I didn t like at the hotel,9.6,"[' Leisure trip ', ' Family with young children ', ' Twin Room ', ' Stayed 3 nights ']",9,506 day,3,506,162
2017-03-24,Location,Every time I tried to get in my room the key had deactivated and I had to go to the reception to re do it very frustrating,9.6,"[' Business trip ', ' Group ', ' Standard Queen Room with Sofa Bed ', ' Stayed 1 night ']",1,132 day,3,132,163
2016-03-14,Staff could not have been more helpful Even though we d checked out they were happy to store our luggage while we explored Milan and sorted our transfer to the airport Great service Located close to tram for easy and cheap access to Milan centre,Our twin room was very warm eben though the heating was off,8.8,"[' Business trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",3,507 day,3,507,164
2017-03-21,No Positive,Toilet flush buton was not properly installed,7.9,"[' Leisure trip ', ' Family with young children ', ' Classic Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,135 day,3,135,165
2016-03-13,Such good service amazing location and comfy bed,No Negative,10,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",4,508 day,3,508,166
2016-03-31,The location is great being close to the Tube and bus stops Well kept hotel and friendly polite staff,Single beds in twin room very narrow but comfortable Breakfast prices excessive,8.8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",4,490 day,3,490,167
2017-03-22,Great view excellent location and nice staff,The decorations are a bit out of date but nothing to hold you back from staying,10,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']",7,134 day,3,134,168
2017-03-25,Good location close to restaurants cafes and shopping the room was clean and modern wifi worked very well,Breakfast offered is very expensive can get cheaper in any cafe nearby,8.8,"[' Business trip ', ' Couple ', ' Classic Double Room ', ' Stayed 4 nights ']",15,131 day,3,131,169
2017-03-07,Nice view in room,Staff on the bar are very rude I gave a girl bar staff 20e for two cokes and she refused to give me 14e change Said I gave her only 5euro note I pointed out that the drinks were 6euro she changed her story and said I gave her a five euro note and one euro coin Terrible for business the bar staff were very rude,6.3,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,149 day,3,149,170
2017-03-11,The city view The smoking terrace facility,The lobby,9.2,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,145 day,3,145,171
2016-03-11,location,No Negative,10,"[' Group ', ' Comfort Double Room ', ' Stayed 3 nights ']",37,510 day,3,510,172
2016-03-15,Breakfast was great Loads to choose from and they went to extra trouble to find my friend something due to her being poorly Close to Euston we walked near to a few small supermarkets and places to eat,Room was a little dated and bathroom really small,8.8,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",7,506 day,3,506,173
2016-03-03,Breakfast was ample and the range satisfying Front desk was very efficient Breakfast service was so efficient that my table n even my book was cleared away before i came back with my second plate of cooked breakfast No harm done but over zealous nevertheless,The fried eggs are stored in a hot plate n by the time you get to them the sunny side up is all dehydrated hardened poached Also no luggage service is available,7.1,"[' Leisure trip ', ' Solo traveler ', ' Double Hilton Deluxe ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",5,518 day,3,518,174
2016-03-30,Staff was amazing Never had great service like that before,No Negative,10,"[' Business trip ', ' Solo traveler ', ' Small Double Room Annex building ', ' Stayed 1 night ']",1,491 day,3,491,175
2016-03-31,Location good,Sloping bed cold shower small swimming pool full of badly behaved kids,3.3,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",4,490 day,3,490,176
2017-03-19,The room was a really good size and the bed was very comfy bit of a shame that it was two twins pushed together though Lovely smell in the room i felt like I was at a spa staff are lovely and the hotel is in a good location,The bathroom smelt like rotten egg and the underfloor heating did not work,7.9,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 1 night ']",3,137 day,3,137,177
2016-03-15,Room was very spacious Breakfast very good,Drinks at the bar were very expensive No parking,8.8,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,506 day,3,506,178
2016-03-29,Such an amazing hotel The personel where very friendly and helpfull and the people at the reception gave the best recomendations for restaurents The location is amazing in walking distance of almost everything Very nice rooms with comfetable beds and big batherooms And the breakfast is great,Nothing,9.6,"[' Leisure trip ', ' Family with older children ', ' Executive Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,492 day,3,492,179
2017-03-12,Breakfast was very nice and so was the bedroom,No Negative,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,144 day,3,144,180
2017-03-20,Top experience It was out mini moon for a short break and the staff laid on extra special treats and considerations for us,A bit of a toil getting into the city take about 20 30 mins,9.2,"[' Leisure trip ', ' Couple ', ' Marina Double Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,136 day,3,136,181
2017-03-28,Great location good facilities close to local bars and restaurants in Kensington High Street,Rooms bathrooms are a little dated but perfectly adequate and clean,7.5,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",6,128 day,3,128,182
2017-03-22,Friendly staff Comfy bed Excellent wifi Cocktail bar Central location,No Negative,9.6,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",26,134 day,3,134,183
2016-03-31,No Positive,The hitting was too much and we couldn t control the it or the aircondition We became sick,6.7,"[' Leisure trip ', ' Family with older children ', ' Standard Double or Twin Room ', ' Stayed 4 nights ']",2,490 day,3,490,184
2016-03-31,room hotel position right in front of the purple metro mall at walking distance,No Negative,10,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 3 nights ']",11,490 day,3,490,185
2017-03-02,Tram stop right outside a few stops and your in town,I can honestly say I really enjoyed my stay and will go back and recommend to friends and family,10,"[' Leisure trip ', ' Travelers with friends ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,154 day,3,154,186
2017-03-17,Good location to station Staff friendly Breakfast good and varied,Larger bathroom,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,139 day,3,139,187
2016-03-15,Great location staff friendly and helpful and rooms very nice Good value for money,No Negative,10,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 1 night ']",7,506 day,3,506,188
2016-03-05,I love the location the rooms and all the amenities,Staff was a little judge mental when I could not locate my computer I checked in with it but did not check out with it It was upsetting,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,516 day,3,516,189
2016-03-29,This hotel is really perfect I was specially looking for not so expensive place with good rating The fact that it s not in the center of Barcelona is actually it s advantage it s really quite the supermarket with not for tourist prices is reachable in 5 mins subway in 10 There is a lot of space to park a car around the hotel for free The view from rooftop is simply breathtaking especially in the evening Rooms very perfectly clean personnel was really helpful and friendly And it was really quiet Usually in Spain a lot of hotels are made in a way you hear every room on your floor even in the night but here it was so quiet and comfortable we just loved it We will definitely choose Tryp by Wyndham again,The glass door to the toilet and shower was a bit weird but in the end it was still not a problem,10,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",3,492 day,3,492,190
2016-03-29,Location is advantage We arrived early in the morning and be able to left our bags at the hotel for safe keeping before check in in afternoon,The air conditioning sound in the room is too loud,7.9,"[' Leisure trip ', ' Travelers with friends ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",6,492 day,3,492,191
2016-03-07,Fast check in friendly staff and very private room,Entertainment hub in the room was a bit confusing,9.6,"[' Couple ', ' Executive Double Room ', ' Stayed 1 night ']",1,514 day,3,514,192
2016-03-17,Great location Excellent breakfast,Room a little too small Not enough options on TV,7.9,"[' Business trip ', ' Solo traveler ', ' Standard Room with 1 Single Bed ', ' Stayed 3 nights ']",3,504 day,3,504,193
2017-03-03,The breakfast was nice and we got a free upgrade The staff was nice and helpful,Nothing much,9.6,"[' Business trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",22,153 day,3,153,194
2017-03-09,Very comfortable bed,Hot breakfast was mediocre Lukewarm and undercooked Room was clean but nothing special would expect more of a 5 hotel Overall the hotel is better for business trips rather than leisure,6.3,"[' Leisure trip ', ' Couple ', ' Deluxe King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,147 day,3,147,195
2017-03-26,Staff was very helpful and quick to solve any issues we had Excelent breakfast with greate variaty fresh juice and fruits every day The croisant was very good Metro station entrance is right next to the hotel,Air conditioning control pannel was very difficult to operate wasn t working properly Furnishing was not really 4 stars level,8.8,"[' Leisure trip ', ' Couple ', ' Privilege Double or Twin Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",3,130 day,3,130,196
2017-03-20,No Positive,Room small sure it was a single will not stay again,3.3,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",2,136 day,3,136,197
2017-03-23,Room was spacious and sheets on the bed very clean also comfortable,Not much free view channels on tv iron dail wouldn t turn fully,9.2,"[' Leisure trip ', ' Solo traveler ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",12,133 day,3,133,198
2016-03-01,Location is great beds are very comfortable highly recommended,No Negative,8.8,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 3 nights ']",2,520 day,3,520,199
2017-03-07,Friendly and helpful staff especially the front desk,The lifts seemed to be a problem with a lot of guests moaning about them being used by staff and having to wait,9.6,"[' Leisure trip ', ' Family with young children ', ' Double Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,149 day,3,149,200
2017-03-14,Breakfast selection great fresh fruit cereal bread croissants yogurt juices brewed coffee Room very clean bathroom really nice and shower was good Fridge provided was handy Staff were friendly and an all night porter for getting in after hours was great,Only decaf coffee granules in the room and the maid didn t give us proper coffee even though we asked very small gripe But it was annoying No hair dryer in room but to be fair I didn t ask for one they may have them on request Pillows were thin but again we didn t ask for more so can t really complain as we didn t give them a chance to rectify it,7.9,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,142 day,3,142,201
2017-03-13,No Positive,Bathroom is too small and the bed is far too big,10,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 2 nights ']",4,143 day,3,143,202
2016-03-30,Easy access to shops and attractions Breakfast was very good great choice and endless amount,Bedrooms were dark and dated certainly ready for refurbishment Guests want light and airy not dark and dismal Breakfast staff not the most friendly,6.3,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ']",1,491 day,3,491,203
2016-03-15,The staff were awesome and hotel was very clean,The colour of the carpets,10,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,506 day,3,506,204
2017-03-27,The staff were extremely pleasant welcoming and knowledgeable about the area where to eat and how to get around lovely lovely staff and very friendly,Perfect in every way,10,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,129 day,3,129,205
2017-03-28,Perfect location just next to Holborn stop and a short walk to Covent Garden and Soho Super friendly staff Great complimentary coffee and cookies Ubicado a 2 minutos de la parada de metro de Holborn y a un pase to de Covent Garden y el Soho El personal es amabil simo y las habitaciones m s grandes que la media londinense Buen caf y galletas gratis en recepci n,No Negative,8.8,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 2 nights ']",18,128 day,3,128,206
2016-03-01,No Positive,Small room and poor bed,5,"[' Leisure trip ', ' Family with older children ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,520 day,3,520,207
2017-03-06,No Positive,There is a long que during the breakfast everyday and personnel is not sufficient,5.8,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",2,150 day,3,150,208
2016-03-30,Very big and clean room,No Negative,9.6,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",4,491 day,3,491,209
2017-03-20,Clean and comfortable and drinks in the room,Would have liked a bath,8.8,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,136 day,3,136,210
2017-03-12,The comfort the cleanliness in fact everything about the hotel However if complimentary tea coffee breakfast were included it would have been a nice gesture on their part Thanks,No Negative,10,"[' Leisure trip ', ' Family with young children ', ' Classic Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",1,144 day,3,144,211
2017-03-20,The hotel provides a Handy phone in each room with which you can freely phone and use the internet That s very useful The breakfast is fantastic fresh and diverse,The room was a bit to small and there were not enough room to store my clothes I hope I will have a nicer room next time,9.6,"[' Business trip ', ' Group ', ' Standard Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",44,136 day,3,136,212
2017-03-10,Excellent position room was big very clean and well furnished,First of all this is a 5 star hotel Being so I am expecting a service typical for that category Staff was not at the expected level breakfast as well This hotel is mainly for congress and meetings much less for couples Service is absolutely anonymous Saying that I would not rate it as a 5 star hotels indeed to my eyes this is a very good 4 hotel but definitely not a 5 one,7.5,"[' Leisure trip ', ' Couple ', ' Superior King or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",21,146 day,3,146,213
2017-03-17,The hotel was in a good location but the rooms were really small didn t have enough room to move around,Size of the room was small,8.3,"[' Leisure trip ', ' Family with young children ', ' Double Room Non Smoking ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",3,139 day,3,139,214
2017-03-30,The breakfast is good,My colleague g has been stolen at the lobby There is NO camera in the hotel Thank you for the cost saving,5.8,"[' Business trip ', ' Couple ', ' Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",4,126 day,3,126,215
2017-03-14,The staff were lovely very helpful,The daft charges in the bar 10 services charge for no reason 10 to use the pool my room wasn t serviced there were building works and the lift to my floor was blocked off so I had no idea how to reach the floor and walked for ages Also the pre charging of one s credit card at 50 per night is presumably how they get away with the ridiculously high bar charges etc,5.8,"[' Leisure trip ', ' Couple ', ' Standard Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",17,142 day,3,142,216
2016-03-11,No Positive,Shabby walls windows needed cleaning and corridors refreshing pillows were flat and hard Request for soft fluffy ones ignored Was told they didn t have spares Don t think it deserves 4 star rating,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",1,510 day,3,510,217
2016-03-16,Lovely room Brilliant service at the time but the follow up promised didn t materialise see below Great central location,There was a problem with the bathroom sliding door and one of us got trapped in there Had to be rescued by a very helpful maintenance man but the door couldn t be repaired until we left the room so we had no privacy in the bathroom The manager was very apologetic and offered an upgrade for our next visit the email hasn t materialised so far,9.6,"[' Leisure trip ', ' Family with older children ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,505 day,3,505,218
2017-03-20,Clean hotel good neighborhood public transport nearby All good,All was good,8.3,"[' Leisure trip ', ' Family with young children ', ' Deluxe King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",24,136 day,3,136,219
2017-03-16,Overall the hotel was great would stay again for sure,The Wifi was rather poor and would not connect properly didn t bother the staff about it as was only staying two nights,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,140 day,3,140,220
2016-03-01,No Positive,Cost of the breakfast outside of booking it before we arrived,10,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ']",2,520 day,3,520,221
2017-03-13,Location totally central to Latin quarter Clean Comfy bed,Small,8.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,143 day,3,143,222
2016-03-10,Good continental breakfast,Room was very hot unable to sleep with window open as some kind of extractor air con thing noisy on flat roof outside,7.5,"[' Business trip ', ' Solo traveler ', ' Executive Double Room ', ' Stayed 1 night ']",6,511 day,3,511,223
2017-03-14,Comfy bed,The rooms are quite compact and therefore eating breakfast which is served in the room is a bit awkward Breakfast was not as hot as it might be if they had a restaurant,7.9,"[' Business trip ', ' Couple ', ' Luxury Room ', ' Stayed 2 nights ']",10,142 day,3,142,224
2017-03-09,Amazing location super friendly and helpful staff Just super super,No Negative,10,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",5,147 day,3,147,225
2017-03-01,We did not eat in the restaurant,No Negative,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,155 day,3,155,226
2017-03-02,great staff incredibly helpful Free tea and coffee downstairs and ice machine for ice was a bonus Lovely big bed good sized room Really good location to explore the river Pub and Gaucho Grill next door,no baths that s a no no with me but the bathroom was nice,9.6,"[' Leisure trip ', ' Family with young children ', ' Standard Queen Room ', ' Stayed 1 night ']",28,154 day,3,154,227
2016-03-27,Staff were great superb location,The apartment was extremely tired and dated compared with the photos of the rooms in the main hotel,7.9,"[' Leisure trip ', ' Couple ', ' Apartment ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,494 day,3,494,228
2016-03-13,The room was beautiful and the buffet breakfast was the best we have ever had,It says on trip advisor that the hotel is 0 5 miles away from the o2 but it turns out actually it s a long travel and we had to get a taxi which cost 18 each way,9.2,"[' Leisure trip ', ' Couple ', ' Superior King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,508 day,3,508,229
2017-03-11,Friendly staff and very good breakfasts,Supplement for a canal view when the downside was a very noisy street environment that often disturbed sleeping,5.8,"[' Leisure trip ', ' Couple ', ' Basic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",6,145 day,3,145,230
2017-03-13,staff were brilliant very comfy bed,no windows in the room but it was a basement room so can t be helped,8.3,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room No Window ', ' Stayed 1 night ', ' Submitted from a mobile device ']",3,143 day,3,143,231
2017-03-14,Location,Tiny rooms old furniture not very clean,4.2,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",5,142 day,3,142,232
2016-03-01,Room was very spacious and bed very comfortable,Would have expected to have toothpaste at the hotel,10,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,520 day,3,520,233
2016-03-17,Excellent location for nightlife with dozens of restaurants and bars within easy walking distance,No Negative,8.8,"[' Leisure trip ', ' Family with older children ', ' Superior Quadruple Room ', ' Stayed 1 night ']",21,504 day,3,504,234
2016-03-05,Room v small but v comfortable Staff were incredibly friendly and helpful Every interaction they just did that little extra They could teach my staff a thing or two,Room a little noisy,9.2,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",4,516 day,3,516,235
2017-03-31,Leo the masseur was magic one of the best massages I have ever had Reception staff were helpful,The wait at the spa was excessively long there weren t enough seats for everyone waiting Having to sit in a short dressing gown in a crowded room with several men is not my idea of a relaxing way to wait for a spa treatment The wet area was also crowded and was much smaller than it looked in the photos Apart from the wonderful massage the whole spa experience was very disappointing Toiletries in room not replaced until I asked Not enough breakfast tea bags supplied Bed too hard No slippers provided in room,6.7,"[' Leisure trip ', ' Solo traveler ', ' Junior Double ', ' Stayed 3 nights ']",29,125 day,3,125,236
2016-04-05,Great Value for Money,No Negative,7.5,"[' Business trip ', ' Solo traveler ', ' Deluxe Room ', ' Stayed 5 nights ']",2,485 day,4,485,237
2016-04-05,Location spot on building and interiors were gorgeous a design lovers dream Food was fab and the Apple Macs in reception were very popular with daughter,The very loud music which started at 9 30 on Friday and sometimes staff a little too laid back,8.8,"[' Leisure trip ', ' Family with young children ', ' Deluxe King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,485 day,4,485,238
2016-04-26,Location,No security and as everybody knows a lot thieves in Barcelona I was stolen mobile inside the hotel and so that is not acceptable Also the fact that hotell staff didnt even make an effort to find solution Terrible,4.6,"[' Business trip ', ' Solo traveler ', ' Basic Double Room ', ' Stayed 1 night ']",7,464 day,4,464,239
2016-04-09,The staff at the front desk and front door were very helpful professional and also quite funny in a very cheerful way When we asked for more milk for the tea in our room I received a jug of cold milk from the kitchen which lasted us for several days in the room fridge EVening meal was excellent Although too cold to swim in March the roof top pool and surroundings will be great for relaxing in warmer months,No Negative,10,"[' Leisure trip ', ' Couple ', ' Premium Double Room ', ' Stayed 3 nights ']",10,481 day,4,481,240
2016-04-26,No Positive,Charging for wi fi Seriously In 2016,6.3,"[' Leisure trip ', ' Group ', ' Deluxe Room ', ' Stayed 2 nights ']",2,464 day,4,464,241
2017-04-05,Great staff very friendly always smiling and professional Hotel itself is well located near Tour Eiffel and Champs Elysees and is well maintained Room and bathroom were clean and bed very comfi,Nothing,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Balcony ', ' Stayed 2 nights ']",3,120 day,4,120,242
2016-04-12,Staff polite good service in general around hotel Room s comfortable,Concierge service lights in room bright and unable to cover or turn off e g attached to alarms,7.5,"[' Leisure trip ', ' Family with older children ', ' Twin Hilton Guest Room ', ' Stayed 1 night ']",1,478 day,4,478,243
2016-04-01,View and facilities,N A,9.2,"[' Leisure trip ', ' Couple ', ' Junior Suite 2 Adults ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,489 day,4,489,244
2017-04-19,Very comfortable,I paid parking charges 32 for two days they don t have a own parking space which is really bad,8.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,106 day,4,106,245
2016-04-05,The bedroom was modern It was well located near the university 5 mins from nearest underground station Lovely view of gothic church from our room Lots of caf s within couple of minutes walk and a Bar across the road Nice walk into centre in bout 15 mins or so,Bathroom was a little tired and could do with overhaul but it was cleaned to a good standard no lift available on ground floor had to take stairs up until you reached lift on 1st floor,7.5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",3,485 day,4,485,246
2017-04-10,Friendly staff room was spotless and comfy although a little airless The situation of the hotel proximity to tube station excellent Quiet Great breakfast Lovely lovely place,No shelf at the sink but I did my makeup at the desk instead no deal breaker,10,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,115 day,4,115,247
2016-04-29,Great location and great breakfast buffet,Not practical for a business traveller no iron and Wifi was poor,8.3,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",4,461 day,4,461,248
2017-04-07,great value for money,No Negative,10,"[' Leisure trip ', ' Couple ', ' City King Room ', ' Stayed 1 night ']",5,118 day,4,118,249
2017-04-05,The quality and ambience of the hotel,No Negative,9.6,"[' Business trip ', ' Solo traveler ', ' Deluxe Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",10,120 day,4,120,250
2016-04-29,The staff where friendly despite the language barrier and where very helpful The room was a good size and the bathroom facilities where good with a nice powerful shower,The WiFi was very unstable and the TV channels apart from a few news channels were in Spanish or other none English Languages I m not sure if its a British thing but Tea Coffee Facilities would have been appreciated,7.9,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 6 nights ']",3,461 day,4,461,251
2016-04-16,We were quite pleased with everything The Axel Hotel will always be our home in future visits to Barcelona,No dislikes,10,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,474 day,4,474,252
2016-04-26,Staff was so friendly and helpful Recieved cava on arrival Room was stunning got upgraded to a room with a balcony over looking the plaza Best hotel I ve stayed in,No Negative,10,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",1,464 day,4,464,253
2017-04-17,Fantastic view of Wembley Lovely room And the 9bar is definitely a must,If your driving the parking is a nightmare,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with Stadium View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,108 day,4,108,254
2016-04-07,Location is great 1 2 block from Plaza de Catalunia Staff very friendly,Inside room without any windows Small bed Very basic,8.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']",6,483 day,4,483,255
2017-04-27,Central location easily accessible,Poor breakfast little soundproofing in bedroom overpriced,6.3,"[' Business trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",32,98 days,4,98,256
2017-04-21,Bed is very comfy staff are always helpful and the hotel is the perfect location for the O2,Nothing,10,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",3,104 day,4,104,257
2016-04-03,I loved the food at the restaurant,No Negative,10,"[' Leisure trip ', ' Couple ', ' Standard Double Room without Window ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,487 day,4,487,258
2016-04-26,The staff wereexcellent,The plug in the wash hand basin was broken,9.2,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",12,464 day,4,464,259
2016-04-04,Lovely friendly staff right beside metro nice restaurants close by comfortable beds,Mini bar had been used before our arrival pointed this out to reception who sent someone to check was half replenished 3 days into our trip mini bar was emptied without comment or consultation with us again onus was on us to contact reception so as not to be charged,9.2,"[' Leisure trip ', ' Group ', ' Classic Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",15,486 day,4,486,260
2017-04-30,Spacious rooms We got the executive rooms The staff were nice The location was accessible but a bit of a walk from the center of the city,No Negative,7.1,"[' Leisure trip ', ' Group ', ' Executive King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",25,95 days,4,95,261
2016-04-21,The room was clean and spacious The housekeeping team is great The tram was 3 minutes walk from the hotel It takes 15 min to get to West banhoef,During the luggage storing i would have liked if they could tag my suite case instead of just putting all luggage with no mark Its just feel safer And as a four star hotel that should be a basic service,8.3,"[' Leisure trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",5,469 day,4,469,262
2016-04-14,Central location good breakfast friendly staff,Avoid rooms outside of main hotel as room was noisy and next to a hashish cafe and smoke drifted into the room,6.7,"[' Leisure trip ', ' Couple ', ' Apartment ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",4,476 day,4,476,263
